scaler__gr_liv_area,scaler__garage_cars,scaler__overall_qual,onehot__foundation_PConc,scaler__total_bsmt_sf,scaler__year_remod_add,scaler__year_built,scaler__1st_flr_sf,scaler__garage_area,onehot__exter_qual_TA,SalePrice
-1.0278098209654802,-2.3229575011671613,-0.06777462470031695,0.0,-0.2416867744845153,-0.44365852132051037,0.12037503681773414,-0.4587556528574141,-2.198844246418896,1.0,102000
0.1036199534443494,1.6215348031538026,0.6409543078801403,1.0,1.135178553438885,1.0425934315571435,1.1127488738960778,1.000929030664462,1.437648983681423,0.0,203160
2.016369239902925,0.3067040350468145,0.6409543078801403,1.0,0.35941588103393785,0.2754956494267415,0.5834828274542946,0.19963359250734822,0.7215109306949151,0.0,148000
-0.717260040227118,-2.3229575011671613,-0.7765035572807742,0.0,-2.3852415271823957,0.41932648357619184,-0.8058405444553867,-0.5889023641504485,-2.198844246418896,1.0,96000
2.287358539018566,1.6215348031538026,2.058412173041055,1.0,2.0016737021485045,1.0905370429402936,1.1789071297013007,1.9987204839110593,2.6374127347886898,0.0,415298
-0.3829739705151228,-1.0081267330601735,-0.7765035572807742,0.0,-0.1350761148265255,0.7549317632582427,-0.4750492654292721,0.3731625408980608,1.3167425591512334,1.0,153000
1.0075769585235315,0.3067040350468145,0.6409543078801403,0.0,-0.14188105054937591,-1.6422488058992635,-1.0704735676762784,0.21749686660639217,-0.3387454074929018,1.0,150000
0.8987856340610478,0.3067040350468145,0.6409543078801403,0.0,-0.5751286249041856,1.0425934315571435,-1.0704735676762784,-0.058107933778857174,-0.1945877474761372,0.0,311500
0.35680703582976586,0.3067040350468145,0.6409543078801403,1.0,1.3574731203853319,0.7069881518750926,0.8811949785777977,1.3275717570469798,0.5122498113157408,0.0,213250
-0.03088568407290307,-2.3229575011671613,-0.06777462470031695,0.0,-0.7021540917307266,0.8028753746413928,-1.8974517652415648,-1.066106972224908,-2.198844246418896,1.0,128000
